_id,date,product_id,sales_amount,store_location,Temperature (°C),Humidity (%),Weather Description
67a830924704bdf2e40a477b,2019-01-05,P001,548,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a477c,2019-03-08,P002,80,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a477d,2019-03-03,P003,340,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a477e,2019-01-27,P004,489,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a477f,2019-02-08,P005,634,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4780,2019-03-25,P006,627,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a4781,2019-02-25,P007,433,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4782,2019-02-24,P008,772,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a4783,2019-01-10,P009,76,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4784,2019-02-20,P010,172,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4785,2019-02-06,P011,60,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4786,2019-03-09,P012,107,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4787,2019-02-12,P013,246,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4788,2019-02-07,P014,453,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4789,2019-03-29,P015,749,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a478a,2019-01-15,P016,590,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a478b,2019-03-11,P017,506,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a478c,2019-01-01,P018,457,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a478d,2019-01-21,P019,172,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a478e,2019-03-11,P020,84,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a478f,2019-02-25,P021,451,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a4790,2019-03-05,P022,277,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4791,2019-03-15,P023,69,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4792,2019-02-17,P024,181,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4793,2019-03-02,P025,279,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4794,2019-03-22,P026,441,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4795,2019-02-08,P027,35,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4796,2019-03-10,P028,184,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4797,2019-01-25,P029,463,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a4798,2019-03-15,P030,235,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a4799,2019-02-25,P031,494,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a479a,2019-01-28,P032,737,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a479b,2019-01-10,P033,703,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a479c,2019-03-15,P034,202,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a479d,2019-02-06,P035,417,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a479e,2019-01-07,P036,71,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a479f,2019-03-10,P037,328,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a47a0,2019-01-15,P038,575,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a47a1,2019-03-23,P039,461,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47a2,2019-03-03,P040,253,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47a3,2019-01-17,P041,91,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47a4,2019-02-02,P042,117,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47a5,2019-02-08,P043,435,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47a6,2019-03-04,P044,829,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47a7,2019-03-16,P045,32,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47a8,2019-03-09,P046,394,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47a9,2019-02-27,P047,535,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47aa,2019-02-06,P048,189,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47ab,2019-02-10,P049,119,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47ac,2019-03-19,P050,867,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47ad,2019-02-03,P051,671,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47ae,2019-02-10,P052,234,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a47af,2019-03-22,P053,75,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47b0,2019-01-25,P054,16,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47b1,2019-03-07,P055,33,Mandalay,31.810000000000002,25,clear sky
67a830924704bdf2e40a47b2,2019-02-28,P056,722,Naypyitaw,NaN,NaN,
67a830924704bdf2e40a47b3,2019-03-27,P057,93,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a47b4,2019-02-07,P058,752,Yangon,28.980000000000018,70,broken clouds
67a830924704bdf2e40a47b5,2019-01-20,P059,759,Yangon,28.980000000000018,70,broken clouds
